city,sex,age_0,age_5,age_10,age_15,age_20,age_25,age_30,age_35,age_40,age_45,age_50,age_55,age_60,age_65,age_70,age_75,age_80,age_85
Canberra,males,13925.0,14996.0,14030.0,13433.0,17391.0,20041.0,19302.0,18475.0,15695.0,14443.0,13181.0,11527.0,10019.0,8363.0,7760.0,5269.0,3234.0,2783.0
Canberra,females,13215.0,14280.0,13253.0,13072.0,17339.0,19777.0,19554.0,18825.0,16039.0,14671.0,13366.0,12148.0,11098.0,9650.0,8978.0,6092.0,4142.0,4192.0
Adelaide,males,39361.0,42411.0,42262.0,40568.0,48090.0,50374.0,49141.0,48958.0,42940.0,43385.0,43481.0,41909.0,39150.0,33805.0,30919.0,21670.0,14337.0,13722.0
Adelaide,females,37732.0,40536.0,40870.0,39016.0,45494.0,49080.0,50253.0,50150.0,44700.0,44168.0,45091.0,44505.0,43257.0,38638.0,35740.0,25527.0,18744.0,22409.0
Brisbane,males,80201.0,87182.0,88824.0,82287.0,91739.0,95499.0,96511.0,95863.0,84539.0,84682.0,79198.0,71383.0,63272.0,53710.0,48079.0,33443.0,20352.0,16126.0
Brisbane,females,75505.0,82302.0,83530.0,78112.0,88473.0,95620.0,98397.0,97680.0,87910.0,86588.0,81732.0,73999.0,67515.0,58649.0,52715.0,36643.0,24220.0,26447.0
Darwin,males,5313.0,5190.0,4989.0,4125.0,5449.0,6906.0,7271.0,6370.0,5383.0,5148.0,4991.0,4427.0,3716.0,2920.0,2285.0,1309.0,646.0,399.0
Darwin,females,4936.0,5061.0,4500.0,3812.0,4336.0,6786.0,7116.0,6268.0,5454.0,4771.0,4544.0,3997.0,3425.0,2614.0,2059.0,1127.0,680.0,478.0
Hobart,males,6855.0,7294.0,7756.0,7009.0,7809.0,10427.0,10279.0,8624.0,7056.0,7256.0,7230.0,7189.0,7226.0,6386.0,5804.0,3863.0,2623.0,2134.0
Hobart,females,6473.0,7097.0,7272.0,6605.0,7563.0,10133.0,10104.0,8849.0,7600.0,7716.0,7775.0,7823.0,8008.0,7253.0,6482.0,4598.0,3328.0,3548.0
Melbourne,males,153887.0,160659.0,153627.0,143297.0,174977.0,199830.0,205184.0,200285.0,169046.0,159140.0,150938.0,136755.0,120890.0,100303.0,87405.0,63109.0,43002.0,38261.0
Melbourne,females,146140.0,152211.0,145995.0,136035.0,163476.0,194647.0,211063.0,201628.0,171258.0,163970.0,157895.0,142616.0,130744.0,112060.0,100377.0,72050.0,53059.0,60338.0
Perth,males,70408.0,72885.0,72844.0,65655.0,71396.0,76054.0,83087.0,85360.0,73307.0,71686.0,69868.0,64145.0,56955.0,48754.0,43350.0,29595.0,19265.0,16189.0
Perth,females,66263.0,69046.0,68311.0,62207.0,67784.0,75635.0,85261.0,84772.0,74313.0,71576.0,69759.0,65436.0,60423.0,53611.0,46674.0,31793.0,23250.0,25312.0
Sydney,males,164066.0,170794.0,167512.0,153724.0,182334.0,203133.0,211124.0,208780.0,180756.0,171605.0,157800.0,150316.0,132604.0,109351.0,96200.0,68487.0,45384.0,40438.0
Sydney,females,154751.0,161444.0,158318.0,143561.0,168848.0,199475.0,214718.0,208721.0,182607.0,173919.0,163049.0,153411.0,141428.0,121220.0,105731.0,75786.0,54825.0,63544.0
Australia,males,776154.0,831439.0,835276.0,761944.0,836993.0,918242.0,940348.0,928056.0,815741.0,817134.0,793974.0,762347.0,711004.0,617370.0,554537.0,387768.0,249912.0,208780.0
Australia,females,733554.0,785043.0,788318.0,717494.0,786168.0,903503.0,958964.0,938977.0,838469.0,832588.0,817225.0,787774.0,753641.0,662449.0,591972.0,419272.0,295392.0,325409.0
